source_id,country,is_eog_flare,eog_flare_id,block_id
Algeria_10614,Algeria,0,,Algeria_b99986100049
Angola_94537,Angola,0,,Angola_b99969100022
Indonesia_117244,Indonesia,0,,Indonesia_b99878100005
Iraq_32338,Iraq,0,,Iraq_b99979100011
Libya_2189,Libya,0,,Libya_b99943099975
Nigeria_125859,Nigeria,1,s_3648,Nigeria_b99974099963
Algeria_4911,Algeria,0,,Algeria_b99994099993
Angola_56051,Angola,0,,Angola_b100036100041
Indonesia_47100,Indonesia,0,,Indonesia_b99943100030
Iraq_20074,Iraq,1,s_20989,Iraq_b99978100011
Libya_538,Libya,0,,Libya_b99956099981
Nigeria_202008,Nigeria,0,,Nigeria_b99957100010
Algeria_5357,Algeria,0,,Algeria_b99937100047
Angola_488655,Angola,0,,Angola_b99952100040
Indonesia_95918,Indonesia,0,,Indonesia_b99966099958
Iraq_3835,Iraq,0,,Iraq_b100004099982
Libya_407,Libya,0,,Libya_b99918099967
Nigeria_347562,Nigeria,1,s_3787,Nigeria_b99985099955
Algeria_12935,Algeria,0,,Algeria_b99970100015
Angola_791019,Angola,0,,Angola_b100036099947
Indonesia_61999,Indonesia,1,s_2610,Indonesia_b99956099962
Iraq_35419,Iraq,0,,Iraq_b99979100044
Libya_3324,Libya,0,,Libya_b100000100004
Nigeria_87648,Nigeria,0,,Nigeria_b99965099997
Algeria_13041,Algeria,0,,Algeria_b100017100053
Angola_522447,Angola,0,,Angola_b99962099989
Indonesia_58411,Indonesia,1,s_2644,Indonesia_b100018100034
Iraq_26913,Iraq,0,,Iraq_b99984100038
Libya_2767,Libya,0,,Libya_b100021100044
Nigeria_322551,Nigeria,0,,Nigeria_b99960099983
Algeria_4935,Algeria,1,s_20138,Algeria_b99996100004
Angola_942753,Angola,0,,Angola_b99978100057
Indonesia_45064,Indonesia,1,m_35,Indonesia_b100019100037
Iraq_12740,Iraq,0,,Iraq_b99970100047
Libya_2044,Libya,1,s_8186,Libya_b100020100006
Nigeria_53186,Nigeria,0,,Nigeria_b99986099974
Algeria_13208,Algeria,1,s_7846,Algeria_b100011099966
Angola_390542,Angola,0,,Angola_b99961099987
Indonesia_74168,Indonesia,0,,Indonesia_b100094099936
Iraq_11636,Iraq,0,,Iraq_b99968100048
Libya_263,Libya,1,s_8109,Libya_b100030100000
Nigeria_154666,Nigeria,0,,Nigeria_b100010100001
Algeria_5293,Algeria,0,,Algeria_b99945100015
Angola_240993,Angola,0,,Angola_b99962100000
Indonesia_144890,Indonesia,0,,Indonesia_b100279099949
Iraq_141,Iraq,1,s_21833,Iraq_b100012099991
Libya_2183,Libya,0,,Libya_b100033099989
Nigeria_253597,Nigeria,0,,Nigeria_b99962100013
Algeria_10245,Algeria,0,,Algeria_b99998100056
Angola_712441,Angola,0,,Angola_b99963099994
Indonesia_176979,Indonesia,0,,Indonesia_b100055099945
Iraq_13763,Iraq,1,s_20950,Iraq_b99972100047
Libya_3166,Libya,0,,Libya_b100022099993
Nigeria_122953,Nigeria,0,,Nigeria_b100007099958
Algeria_13851,Algeria,0,,Algeria_b100001100048
Angola_593524,Angola,0,,Angola_b100001099986
Indonesia_168252,Indonesia,0,,Indonesia_b99914100008
Iraq_210,Iraq,1,s_21932a,Iraq_b100010099979
Libya_107,Libya,1,s_8092,Libya_b100017100003
Nigeria_130791,Nigeria,1,s_3635,Nigeria_b99984099956
Algeria_11450,Algeria,0,,Algeria_b99958099992
Angola_476868,Angola,0,,Angola_b99967099958
Indonesia_145080,Indonesia,0,,Indonesia_b100065099990
Iraq_32986,Iraq,0,,Iraq_b99973100031
Libya_1452,Libya,0,,Libya_b100028100000
Nigeria_314365,Nigeria,0,,Nigeria_b99958100013
Algeria_13669,Algeria,1,s_7924,Algeria_b100033099961
Angola_608100,Angola,0,,Angola_b100003099940
Indonesia_170642,Indonesia,0,,Indonesia_b100277099959
Iraq_19128,Iraq,1,s_21709,Iraq_b100010099984
Libya_3178,Libya,0,,Libya_b100013100033
Nigeria_181151,Nigeria,0,,Nigeria_b99980100023
Algeria_10340,Algeria,0,,Algeria_b100014100054
Angola_411790,Angola,0,,Angola_b99988100024
Iraq_16563,Iraq,0,,Iraq_b99974100052
Libya_2364,Libya,0,,Libya_b100021099993
Nigeria_81433,Nigeria,0,,Nigeria_b100040099992
Algeria_5201,Algeria,1,s_7854,Algeria_b100034099958
Angola_258666,Angola,0,,Angola_b100007100023
Indonesia_181254,Indonesia,1,s_4575,Indonesia_b99841100049
Iraq_4959,Iraq,0,,Iraq_b99984100028
Libya_2586,Libya,0,,Libya_b99958099970
Nigeria_202913,Nigeria,0,,Nigeria_b100022099979
Algeria_13845,Algeria,0,,Algeria_b100015100054
Angola_218641,Angola,0,,Angola_b99968099996
Indonesia_10953,Indonesia,0,,Indonesia_b99910100007
Iraq_357,Iraq,1,s_22039,Iraq_b99999099992
Libya_488,Libya,0,,Libya_b100029100000
Nigeria_463768,Nigeria,0,,Nigeria_b100020100023
Algeria_12564,Algeria,1,s_7873,Algeria_b100029099962
Angola_933471,Angola,0,,Angola_b100042099989
Indonesia_166829,Indonesia,0,,Indonesia_b99964100037
Iraq_70,Iraq,1,s_20881,Iraq_b99977100039
Libya_925,Libya,1,s_7885,Libya_b99931099969
Nigeria_199139,Nigeria,0,,Nigeria_b99979100000
Algeria_2641,Algeria,1,s_20150,Algeria_b99995099993
Angola_729636,Angola,0,,Angola_b99963100020
Indonesia_147036,Indonesia,0,,Indonesia_b99947099953
Iraq_32048,Iraq,0,,Iraq_b99968100042
Libya_2632,Libya,0,,Libya_b99956099973
Nigeria_366638,Nigeria,0,,Nigeria_b99951099995
Algeria_13190,Algeria,0,,Algeria_b100006100059
Angola_13849,Angola,0,,Angola_b100004099984
Indonesia_160802,Indonesia,0,,Indonesia_b99962099957
Iraq_74,Iraq,1,m_335,Iraq_b99973100048
Libya_3129,Libya,0,,Libya_b99951099985
Nigeria_46805,Nigeria,0,,Nigeria_b100066100049
Algeria_14071,Algeria,1,s_7918,Algeria_b100031099954
Angola_193906,Angola,0,,Angola_b100022099996
Indonesia_151871,Indonesia,0,,Indonesia_b100265099952
Iraq_325,Iraq,1,m_369,Iraq_b100010099982
Libya_1836,Libya,0,,Libya_b99911099988
Algeria_11701,Algeria,0,,Algeria_b100031099968
Angola_845450,Angola,0,,Angola_b100039100015
Indonesia_155965,Indonesia,0,,Indonesia_b100075100049
Iraq_22771,Iraq,0,,Iraq_b99977100045
Libya_907,Libya,1,s_8105,Libya_b100032099991
Nigeria_475045,Nigeria,1,s_3613,Nigeria_b99981099960
Algeria_9493,Algeria,1,s_20271,Algeria_b100005100007
Angola_77518,Angola,0,,Angola_b99981100056
Indonesia_144528,Indonesia,0,,Indonesia_b100102099948
Iraq_24502,Iraq,0,,Iraq_b99982100027
Libya_1743,Libya,0,,Libya_b100011100036
Nigeria_69550,Nigeria,0,,Nigeria_b99999099989
Algeria_10476,Algeria,0,,Algeria_b100002100050
Angola_61508,Angola,0,,Angola_b99960099998
Indonesia_129781,Indonesia,1,s_2468,Indonesia_b99871100011
Iraq_25568,Iraq,0,,Iraq_b99994099998
Libya_839,Libya,1,s_7844,Libya_b99941100008
Nigeria_53045,Nigeria,0,,Nigeria_b99983100052
Algeria_3968,Algeria,0,,Algeria_b99986100058
Angola_798769,Angola,0,,Angola_b99974100020
Indonesia_34646,Indonesia,0,,Indonesia_b100256099954
Iraq_31131,Iraq,0,,Iraq_b99967100050
Libya_337,Libya,0,,Libya_b100007100018
Nigeria_289534,Nigeria,1,s_4023,Nigeria_b99990099955
Algeria_10101,Algeria,0,,Algeria_b99981100054
Angola_247454,Angola,0,,Angola_b99958099993
Indonesia_38089,Indonesia,0,,Indonesia_b100067099990
Iraq_311,Iraq,1,s_21697,Iraq_b100011099975
Libya_370,Libya,0,,Libya_b100018100001
Nigeria_59047,Nigeria,0,,Nigeria_b99949099985
Algeria_12181,Algeria,0,,Algeria_b99997100056
Angola_404378,Angola,0,,Angola_b100052099993
Indonesia_95481,Indonesia,0,,Indonesia_b99946100018
Iraq_356,Iraq,1,s_21545,Iraq_b100014099975
Libya_2106,Libya,0,,Libya_b99949100042
Nigeria_392441,Nigeria,0,,Nigeria_b100019099985
Algeria_11289,Algeria,1,s_20262,Algeria_b100024099999
Angola_967756,Angola,0,,Angola_b99950099973
Indonesia_68656,Indonesia,1,s_4763,Indonesia_b100024100079
Iraq_29159,Iraq,1,m_337,Iraq_b99982100004
Libya_2249,Libya,0,,Libya_b99990100007
Nigeria_245091,Nigeria,0,,Nigeria_b99991100020
Algeria_10939,Algeria,0,,Algeria_b100001100007
Angola_463802,Angola,1,s_2177,Angola_b99937100061
Indonesia_63239,Indonesia,1,s_4504,Indonesia_b99793100099
Iraq_27397,Iraq,1,s_21096,Iraq_b99951100017
Libya_2823,Libya,0,,Libya_b100012100038
Nigeria_458617,Nigeria,0,,Nigeria_b99968100000
Algeria_10944,Algeria,0,,Algeria_b99991100035
Angola_658578,Angola,0,,Angola_b100057100007
Indonesia_28774,Indonesia,0,,Indonesia_b99972100023
Iraq_27309,Iraq,0,,Iraq_b99985100012
Libya_1814,Libya,0,,Libya_b99910099998
Nigeria_148184,Nigeria,0,,Nigeria_b99997100011
Algeria_4844,Algeria,1,s_20158,Algeria_b99997100003
Angola_344428,Angola,0,,Angola_b99984099956
Indonesia_48059,Indonesia,1,s_2418,Indonesia_b99864100028
Iraq_1612,Iraq,0,,Iraq_b99997099999
Libya_1531,Libya,1,s_8263,Libya_b100032100000
Nigeria_206027,Nigeria,0,,Nigeria_b100002100012
Algeria_2720,Algeria,0,,Algeria_b100014100053
Angola_349154,Angola,0,,Angola_b99995100035
Indonesia_59933,Indonesia,1,s_2461,Indonesia_b99864100024
Iraq_1006,Iraq,1,s_21012,Iraq_b99981100032
Libya_2359,Libya,0,,Libya_b99952100043
Nigeria_364958,Nigeria,0,,Nigeria_b99979100004
Algeria_2917,Algeria,0,,Algeria_b100018100057
Angola_41643,Angola,0,,Angola_b99983100026
Indonesia_84951,Indonesia,0,,Indonesia_b99787100097
Iraq_4954,Iraq,0,,Iraq_b99995099993
Libya_741,Libya,1,s_8183,Libya_b100025100005
Nigeria_237877,Nigeria,0,,Nigeria_b100028099981
Algeria_8592,Algeria,0,,Algeria_b99998100058
Angola_923440,Angola,0,,Angola_b99982100028
Iraq_34382,Iraq,1,s_21153,Iraq_b99984100039
Algeria_12997,Algeria,0,,Algeria_b99983100059
Libya_2851,Libya,1,s_20243,Libya_b99928100026
Libya_1222,Libya,0,,Libya_b99955099979
Nigeria_468340,Nigeria,1,s_3769,Nigeria_b99976099955
Libya_1524,Libya,1,s_8158,Libya_b99998099993
Nigeria_159358,Nigeria,0,,Nigeria_b99967100032
Nigeria_188945,Nigeria,0,,Nigeria_b100014099998
Indonesia_28997,Indonesia,0,,Indonesia_b99991100013
Libya_3299,Libya,0,,Libya_b100019100041
Angola_515766,Angola,1,s_2078,Angola_b99938100058
Angola_938524,Angola,0,,Angola_b100021099941
Nigeria_431194,Nigeria,1,s_3835,Nigeria_b99971099963
Indonesia_165728,Indonesia,1,s_2579,Indonesia_b99966099961
Algeria_348,Algeria,0,,Algeria_b100017099994
Nigeria_432548,Nigeria,0,,Nigeria_b99949099984
Nigeria_163317,Nigeria,1,s_3891,Nigeria_b99984099968
Angola_3171,Angola,0,,Angola_b99972100056
Libya_3055,Libya,0,,Libya_b99948100044
Angola_619866,Angola,1,s_2106,Angola_b99935100070
Indonesia_59042,Indonesia,1,s_2603,Indonesia_b99916099973
Nigeria_354508,Nigeria,0,,Nigeria_b99957100000
Algeria_2927,Algeria,0,,Algeria_b99958100055
Iraq_21885,Iraq,0,,Iraq_b100003099982
Libya_448,Libya,1,s_8234,Libya_b100008100007
Nigeria_10753,Nigeria,1,s_3951,Nigeria_b99988099961
Algeria_13280,Algeria,0,,Algeria_b100002100047
Indonesia_143058,Indonesia,0,,Indonesia_b100254099950
Nigeria_120415,Nigeria,1,s_4088,Nigeria_b99976099956
Algeria_4509,Algeria,0,,Algeria_b99991100055
Algeria_5269,Algeria,1,s_7817,Algeria_b100031099955
Indonesia_81805,Indonesia,1,s_2417,Indonesia_b99862100002
Algeria_284,Algeria,1,s_7830,Algeria_b100004099979
Angola_251,Angola,1,s_1997,Angola_b99937100062
Iraq_397,Iraq,1,s_21230,Iraq_b99966100051
Nigeria_378328,Nigeria,0,,Nigeria_b100062100052
Libya_1563,Libya,0,,Libya_b100013100022
Libya_2351,Libya,0,,Libya_b100013100039
Iraq_35473,Iraq,0,,Iraq_b99981100039
Angola_949154,Angola,0,,Angola_b99959099976
Indonesia_155591,Indonesia,1,s_4521,Indonesia_b99838100051
Angola_607537,Angola,0,,Angola_b99954100028
Iraq_12327,Iraq,1,s_21396,Iraq_b99979100036
Angola_814403,Angola,0,,Angola_b100001100004
Libya_1046,Libya,0,,Libya_b100007100001
Nigeria_14482,Nigeria,1,s_3875,Nigeria_b99986099965
Angola_404749,Angola,0,,Angola_b99985100007
Indonesia_60731,Indonesia,1,s_2554,Indonesia_b100013100025
Angola_770424,Angola,1,s_2003,Angola_b99938100061
Iraq_35588,Iraq,0,,Iraq_b99967100051
Algeria_13025,Algeria,0,,Algeria_b99928100038
Iraq_7412,Iraq,0,,Iraq_b99982100044
Libya_2232,Libya,0,,Libya_b100015100041
Iraq_6436,Iraq,0,,Iraq_b99974100037
Indonesia_45522,Indonesia,0,,Indonesia_b100015100057
Libya_2964,Libya,1,s_8197,Libya_b100022100000
Libya_161,Libya,1,s_8181,Libya_b100008099991
Indonesia_132026,Indonesia,0,,Indonesia_b99957100002
Indonesia_58467,Indonesia,1,s_2338,Indonesia_b99863100028
Indonesia_135227,Indonesia,0,,Indonesia_b99871099993
Iraq_1179,Iraq,0,,Iraq_b99983099996
