source_id,block_id,lat,lon,is_eog_flare,eog_flare_id,country,chip_id
Libya_2232,Libya_b100015100041,32.51839,20.57109,0,,Libya,53b02131ad87a4c0b62d
Libya_3299,Libya_b100019100041,32.52799,20.94622,0,,Libya,6eed0a32725007cc40bf
Libya_1222,Libya_b99955099979,26.95426,14.43211,0,,Libya,81915b0a7ffd3df84241
Libya_2851,Libya_b99928100026,31.154564117647062,11.63788411764706,1,s_20243,Libya,8630793eb0344aaacf28
Libya_2964,Libya_b100022100000,28.83303,21.31841,1,s_8197,Libya,9177320e1acfd3c1738f
Libya_448,Libya_b100008100007,29.450964285714285,19.811405714285716,1,s_8234,Libya,bf374616c73b3635b214
Libya_1563,Libya_b100013100022,30.81045,20.37695,0,,Libya,d43f29050cb13538ab37
Libya_1524,Libya_b99998099993,28.132216790123454,18.789805308641977,1,s_8158,Libya,dbb6afedc5628f00d4b8
Libya_3055,Libya_b99948100044,32.73352,13.67558,0,,Libya,dc2da202998de16e1fc9
Libya_263,Libya_b100030100000,28.842752,22.108392000000002,1,s_8109,Libya,dc9e8be89c8428213026
Libya_161,Libya_b100008099991,27.988348902439025,19.902976951219514,1,s_8181,Libya,eac1ca6c5c22206fe04c
Libya_1046,Libya_b100007100001,28.86715,19.7532,0,,Libya,ed57938a13e4d1bb5e50
Libya_907,Libya_b100032099991,28.03281,22.29552,1,s_8105,Libya,fef3cf8c15d0899c86d7
Nigeria_42858,Nigeria_b99972099965,5.8193729411764705,5.200427058823529,1,s_3954,Nigeria,201055ce3c7c4e6aeabd
Nigeria_431194,Nigeria_b99971099963,5.6563,5.14677,1,s_3835,Nigeria,34692f4f2b546ad557ce
Nigeria_202008,Nigeria_b99957100010,9.85023,3.796556666666667,0,,Nigeria,3cc5104ad44d7e5f7190
Nigeria_10753,Nigeria_b99988099961,5.45715995412844,6.694472247706423,1,s_3951,Nigeria,3dd03d6fcffda7d66a00
Nigeria_59047,Nigeria_b99949099985,7.614196666666667,3.078463333333333,0,,Nigeria,4342d6329260104642e3
Nigeria_159358,Nigeria_b99967100032,11.81195,4.717432857142858,0,,Nigeria,4f4984a8268d6a2a05c8
Nigeria_154666,Nigeria_b100010100001,9.079344444444445,8.63153,0,,Nigeria,55c06d0baf4a8786c207
Nigeria_14482,Nigeria_b99986099965,5.830885,6.438834999999999,1,s_3875,Nigeria,60ca9b1094f501cdf5cc
Nigeria_378328,Nigeria_b100062100052,13.676555,13.3561175,0,,Nigeria,939a56aa5af722bbf5ff
Nigeria_163317,Nigeria_b99984099968,6.045084545454546,6.275035909090909,1,s_3891,Nigeria,b9d85ed792295da5ec70
Nigeria_354508,Nigeria_b99957100000,8.96091,3.80226,0,,Nigeria,c9ba76863791ba23d1cf
Nigeria_432548,Nigeria_b99949099984,7.53178,3.13864,0,,Nigeria,cc1e8dbd5a70a5ffc9ec
Nigeria_120415,Nigeria_b99976099956,5.031682727272727,5.569109090909091,1,s_4088,Nigeria,d591ed5d6756e7e1c120
Nigeria_312811,Nigeria_b99991099951,4.52043,6.92273,1,s_4192,Nigeria,e4514f58806866f9f5a9
Nigeria_468340,Nigeria_b99976099955,4.937445,5.602869999999999,1,s_3769,Nigeria,f31fc31cce99609cf7d3
Nigeria_188945,Nigeria_b100014099998,8.808663333333334,9.041556666666667,0,,Nigeria,f56bbc9a05633149d996
